Model,RMSE,R²,MAE,Training Time (s)
Random Forest,0.8464570568355135,0.9952089215465288,0.5235010556120957,12.075802087783813
LightGBM,0.927185908048949,0.9942514664935657,0.44870893153486363,18.47359800338745
XGBoost,0.6610363595485278,0.997078040995369,0.33561829510690794,4.337680816650391
SVR,7.698540317133703,0.6036852835111941,2.00496892063312,0.03516507148742676
