SWIR1,SWIR2,Blue,Green,Red,RedEdge1,RedEdge2,RedEdge3,NIR,NIR_Narrow,NDMI,NDVI,NDWI,Longitude,Latitude
2154,1003,332,558,334,937,2628,3318,3391,3702,0.22308385372161865,0.8206711411476135,-0.7173967957496643,107.29868520672157,11.436856124003482
2034,898,300,490,288,867,2568,3325,3291,3689,0.2360563427209854,0.8390612006187439,-0.7408093214035034,107.34351113939913,11.640234704328142
1836,874,394,600,492,921,2225,2761,3066,3258,0.2509180009365082,0.7234401106834412,-0.6726677417755127,107.2380489250435,11.436227303304598
1396,610,337,518,326,685,1965,2586,2956,2904,0.3584558963775635,0.801340639591217,-0.7017846703529358,107.35168580848462,11.669340119533613
1787,884,382,590,416,917,2232,2617,3044,2991,0.2601945698261261,0.7595375776290894,-0.6752889156341553,107.34908069416068,11.455091924271109
1582,1175,440,615,538,878,1300,1401,1371,1542,-0.07145275920629501,0.4363541007041931,-0.3806646466255188,107.34288231870025,11.478358290129803
1761,755,290,550,344,924,2681,3372,3348,3776,0.3106282949447632,0.8136511445045471,-0.7178040146827698,107.390582860287,11.757105522792092
1928,957,378,555,440,992,2330,3032,3120,3354,0.2361331284046173,0.7528089880943298,-0.6979591846466064,107.18073640991668,11.553457447882195
1759,842,357,567,372,962,2331,2911,2939,3298,0.25117072463035583,0.7752944827079773,-0.6765545010566711,107.24002521866856,11.436496797889834
1570,709,283,477,317,830,2352,3003,3086,3487,0.32560136914253235,0.8136938214302063,-0.7322481274604797,107.40504573636132,11.741564668376823
1882,839,256,492,280,845,2180,2724,2761,3041,0.1893172562122345,0.8158500790596008,-0.6975100040435791,107.51158592905789,11.713447399983883
1441,622,302,430,249,734,2119,2758,2742,3135,0.31102079153060913,0.8335005044937134,-0.7288776636123657,107.27353237876622,11.469285305760197
1763,787,316,514,314,812,2220,2894,3256,3219,0.2974696159362793,0.8240896463394165,-0.7273209691047668,107.45319543559012,11.478537953186628
2244,1029,329,626,373,1096,3276,4103,3864,4425,0.26522594690322876,0.8239320516586304,-0.7211581468582153,107.32707196969974,11.74830203300772
1566,662,321,565,354,888,2482,3024,3344,3366,0.362118124961853,0.8085451722145081,-0.7109234929084778,107.46137010467561,11.713177905398647
1995,877,430,883,456,1458,3685,4263,4464,4646,0.3822573125362396,0.8146341443061829,-0.6697213649749756,107.33587545948411,11.457786870123467
1489,596,272,508,253,834,2556,3269,3472,3523,0.3997178077697754,0.8641610741615295,-0.7447236180305481,107.46720915402238,11.705003236313159
1721,759,381,598,372,809,2250,2851,3076,3085,0.28246819972991943,0.7842227220535278,-0.6744692325592041,107.24254050146409,11.498570384022493
2181,1004,343,588,398,927,2437,3122,3272,3536,0.20007336139678955,0.78310626745224,-0.6953367590904236,107.3222210671655,11.700960817534622
1629,701,370,634,380,914,2583,3230,3417,3610,0.3543400764465332,0.7998420000076294,-0.6869908571243286,107.3139565665516,11.721801732126194
1443,591,256,408,236,752,2340,3083,2843,3330,0.3266448974609375,0.8467034697532654,-0.7490003108978271,107.2959902608692,11.415925377883497
2119,1071,401,660,481,1029,2234,2674,2966,3019,0.1665683388710022,0.720916748046875,-0.6359624862670898,107.38025223451962,11.498390720965668
1963,873,270,474,300,808,2404,3127,3108,3527,0.2257937341928482,0.8239436745643616,-0.7353433966636658,107.31341757738113,11.703386268801744
2076,934,332,606,345,988,2897,3701,3757,4069,0.2881878912448883,0.8317893743515015,-0.7222095131874084,107.42328153662895,11.739498543223348
1904,871,362,540,347,880,2308,2949,3088,3305,0.2371794879436493,0.7979621291160583,-0.7023153305053711,107.23373701167972,11.416015209411908
1933,943,431,565,534,947,2057,2503,2522,2938,0.13221099972724915,0.6505235433578491,-0.633948802947998,107.24882870845293,11.434161178151124
2325,1237,444,644,469,919,2064,2454,2670,2650,0.06906907260417938,0.7011787295341492,-0.6113458275794983,107.36543003233164,11.48365835030611
2391,1075,434,711,457,1092,3029,3881,4100,4344,0.26328763365745544,0.7994294762611389,-0.7044273614883423,107.25745253518048,11.550942165086662
1742,730,361,528,317,956,3033,3678,3376,4047,0.31926533579826355,0.8283238410949707,-0.7295082211494446,107.30991414777306,11.443773151691202
1560,681,293,417,272,839,2139,2804,2169,2937,0.1633145660161972,0.7771404981613159,-0.6774942278862,107.4011829806396,11.450869842435747
2217,1037,386,638,378,966,2691,3336,3716,3716,0.25265464186668396,0.8153395056724548,-0.7069361209869385,107.40881866055462,11.499199204721377
1718,768,423,621,431,886,2442,3051,3532,3407,0.34552380442619324,0.7824879884719849,-0.7009390592575073,107.29203767361908,11.462907267242947
2121,948,332,588,337,916,2787,3595,3484,3962,0.24317573010921478,0.8236063718795776,-0.7111984491348267,107.3403670359047,11.696559072642435
2048,1083,443,786,552,1284,2491,2870,3064,3242,0.19874803721904755,0.6946902871131897,-0.591688334941864,107.3418043403593,11.457068217896172
1624,694,316,588,337,940,2974,3603,3731,3958,0.393464058637619,0.834316611289978,-0.7277147769927979,107.42723412387907,11.718657628631776
1522,678,308,484,276,786,2456,3173,3249,3461,0.3619786202907562,0.843404233455658,-0.7406911253929138,107.33839074227964,11.434879830378419
1543,670,297,542,342,817,2313,3007,3335,3298,0.36736366152763367,0.8139787912368774,-0.7204023599624634,107.30901583248894,11.716142345836241
1783,797,277,490,300,785,2493,3180,3448,3564,0.31829479336738586,0.8399146199226379,-0.7511427402496338,107.3576146893598,11.691169180937719
1765,832,362,650,442,1062,2570,3049,3076,3328,0.2708118259906769,0.7487208843231201,-0.6511003971099854,107.29545127169874,11.69125901246613
637,443,506,694,431,617,634,625,397,567,-0.23210830986499786,-0.04106280207633972,0.27222731709480286,107.27056793832863,11.667633320493787
2075,909,313,538,312,910,2691,3394,3653,3785,0.27548882365226746,0.8426229357719421,-0.7432593703269958,107.3974100564463,11.722700047410314
1815,775,340,524,298,931,2683,3388,3391,3754,0.302727609872818,0.8384386301040649,-0.7323116064071655,107.2274488046909,11.409816833951485
2081,965,398,549,335,903,2478,3151,2820,3473,0.15078555047512054,0.7876386642456055,-0.6740872859954834,107.31189044139812,11.511595955642226
1749,737,229,464,234,845,2689,3429,3604,3776,0.3465346395969391,0.8780614733695984,-0.7718780636787415,107.52011992425703,11.701499806705092
1575,681,289,522,293,917,2802,3434,3433,3624,0.37100639939308167,0.8427267670631409,-0.7360303401947021,107.3432416448139,11.738510396410817
1790,785,249,496,262,791,2413,3076,3220,3448,0.2854291498661041,0.8495118021965027,-0.733046293258667,107.51374188573978,11.771927724980063
1615,731,335,539,370,846,2231,2780,3022,3110,0.3034289479255676,0.7818396091461182,-0.6972760558128357,107.4124119216911,11.443144330992318
1447,581,215,431,233,826,2431,3101,3014,3314,0.3512665331363678,0.8564829230308533,-0.7497822642326355,107.52182672329685,11.765010697292343
1427,618,284,376,234,627,2018,2585,2498,2859,0.27286624908447266,0.8286969065666199,-0.7383437752723694,107.26984928610133,11.441437531952491
1874,856,335,501,322,814,2234,2811,2808,3126,0.19948740303516388,0.7942491769790649,-0.6971895098686218,107.31503454489254,11.399665871240934
2077,1012,396,603,404,984,2141,2601,2525,2923,0.09734898060560226,0.7241379022598267,-0.6144501566886902,107.34593659066626,11.459673332220117
2145,969,354,571,342,913,2642,3424,3868,3823,0.2865458130836487,0.837529718875885,-0.7427348494529724,107.24487612120281,11.49201268244842
1486,650,338,530,312,916,2341,2995,3344,3304,0.38467907905578613,0.8293216824531555,-0.7263810038566589,107.42543749331082,11.4993788677782
1759,786,341,516,381,914,2341,2851,2532,3218,0.18014448881149292,0.7384139895439148,-0.6614173054695129,107.4116932694638,11.483029529607226
2130,948,330,545,322,936,2664,3447,3579,3812,0.25380977988243103,0.8349141478538513,-0.7356935143470764,107.34449928621166,11.643288976294148
1678,709,329,465,302,803,2219,2798,2713,3128,0.23570939898490906,0.7996683120727539,-0.7073631286621094,107.27191541125481,11.473776882180793
